COUNTER_MEMS,GYROX,GYROY,GYROZ,ACCX,ACCY,ACCZ,MAGX,MAGY,MAGZ,int,str,rel,exc,eng,lex,foc,AF3/theta,AF3/alpha,AF3/betaL,AF3/betaH,AF3/gamma,F7/theta,F7/alpha,F7/betaL,F7/betaH,F7/gamma,F3/theta,F3/alpha,F3/betaL,F3/betaH,F3/gamma,FC5/theta,FC5/alpha,FC5/betaL,FC5/betaH,FC5/gamma,T7/theta,T7/alpha,T7/betaL,T7/betaH,T7/gamma,P7/theta,P7/alpha,P7/betaL,P7/betaH,P7/gamma,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,P8/theta,P8/alpha,P8/betaL,P8/betaH,P8/gamma,T8/theta,T8/alpha,T8/betaL,T8/betaH,T8/gamma,FC6/theta,FC6/alpha,FC6/betaL,FC6/betaH,FC6/gamma,F4/theta,F4/alpha,F4/betaL,F4/betaH,F4/gamma,F8/theta,F8/alpha,F8/betaL,F8/betaH,F8/gamma,AF4/theta,AF4/alpha,AF4/betaL,AF4/betaH,AF4/gamma
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.47,4.77,2.79,1.28,0.81,2.58,4.09,3.67,2.47,1.62,0.87,0.79,1.07,0.59,0.49,2.97,3.49,1.51,1.40,2.03,0.26,0.08,0.07,0.03,0.03,6.30,2.22,1.36,0.61,0.30,0.85,0.32,0.41,0.25,0.15,3.00,0.86,1.20,0.58,0.30,6.20,2.13,2.11,1.32,0.65,10.17,1.32,2.64,1.52,1.07,18.06,2.64,3.30,2.51,2.52,5.33,1.29,1.40,1.30,0.93,16.51,1.01,1.70,1.65,1.48,5.34,1.35,2.13,1.56,0.69
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.64,4.72,3.11,2.01,1.37,3.29,4.44,4.77,3.93,2.41,0.93,0.78,1.29,0.93,0.80,4.19,5.12,2.05,2.08,3.06,0.34,0.11,0.08,0.04,0.03,6.92,2.22,1.46,0.92,0.46,0.92,0.31,0.45,0.36,0.22,3.14,0.85,1.31,0.92,0.47,6.46,2.14,2.34,2.07,1.02,10.10,1.38,3.00,2.31,1.47,17.43,2.82,4.24,3.84,3.36,5.40,1.36,1.74,1.84,1.27,15.56,1.15,2.08,2.57,2.16,5.46,1.38,2.64,2.33,1.10
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.96,4.59,3.47,3.01,2.16,4.15,4.65,5.94,5.83,3.46,1.06,0.75,1.52,1.40,1.26,6.02,7.12,2.86,3.09,4.55,0.44,0.16,0.09,0.04,0.04,7.65,2.22,1.61,1.34,0.69,1.00,0.30,0.50,0.51,0.31,3.34,0.84,1.43,1.36,0.70,6.84,2.11,2.60,3.06,1.54,10.18,1.47,3.50,3.36,2.06,16.60,3.04,5.41,5.62,4.49,5.74,1.44,2.14,2.57,1.75,14.49,1.39,2.56,3.81,3.11,5.84,1.44,3.26,3.36,1.69
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.39,4.45,3.80,4.26,3.15,5.04,4.76,7.05,8.09,4.72,1.25,0.71,1.75,2.01,1.81,8.10,9.32,4.03,4.58,6.46,0.56,0.21,0.10,0.05,0.04,8.38,2.25,1.78,1.84,0.99,1.08,0.29,0.55,0.68,0.42,3.56,0.84,1.54,1.88,0.99,7.23,2.09,2.87,4.24,2.17,10.28,1.60,4.08,4.62,2.80,15.67,3.33,6.65,7.75,5.85,6.21,1.54,2.59,3.49,2.35,13.34,1.75,3.07,5.32,4.26,6.34,1.57,3.90,4.61,2.44
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.88,4.36,4.06,5.71,4.23,5.85,4.81,8.05,10.54,6.12,1.46,0.68,1.94,2.74,2.43,10.15,11.49,5.61,6.60,8.63,0.67,0.26,0.12,0.06,0.05,8.99,2.32,1.94,2.38,1.33,1.14,0.28,0.60,0.87,0.54,3.74,0.85,1.64,2.42,1.30,7.53,2.10,3.11,5.49,2.85,10.28,1.79,4.67,5.99,3.61,14.79,3.76,7.83,10.04,7.31,6.68,1.71,3.03,4.54,3.01,12.17,2.23,3.58,6.97,5.48,6.85,1.81,4.51,5.97,3.27
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.35,4.37,4.23,7.24,5.27,6.45,4.88,8.94,12.96,7.55,1.68,0.68,2.07,3.52,3.02,11.86,13.40,7.55,9.07,10.82,0.76,0.30,0.13,0.06,0.05,9.42,2.43,2.07,2.89,1.66,1.18,0.28,0.64,1.05,0.66,3.84,0.89,1.72,2.94,1.60,7.71,2.15,3.30,6.68,3.50,10.16,2.03,5.20,7.33,4.39,14.02,4.33,8.78,12.27,8.72,7.05,1.95,3.43,5.62,3.67,11.06,2.78,4.06,8.61,6.63,7.23,2.19,5.04,7.31,4.12
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.73,4.51,4.32,8.70,6.16,6.77,5.05,9.77,15.15,8.93,1.85,0.72,2.16,4.28,3.54,12.95,14.90,9.70,11.76,12.82,0.81,0.33,0.14,0.07,0.06,9.64,2.57,2.16,3.33,1.96,1.19,0.29,0.68,1.20,0.76,3.86,0.95,1.77,3.37,1.86,7.73,2.26,3.44,7.68,4.05,9.93,2.31,5.61,8.51,5.04,13.34,5.04,9.44,14.23,9.95,7.27,2.26,3.78,6.61,4.26,10.07,3.37,4.49,10.08,7.58,7.43,2.69,5.47,8.48,4.89
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.96,4.75,4.34,9.95,6.83,6.80,5.37,10.59,16.94,10.19,1.96,0.79,2.20,4.92,3.92,13.39,15.89,11.82,14.34,14.45,0.82,0.35,0.14,0.07,0.06,9.61,2.73,2.19,3.64,2.20,1.18,0.31,0.70,1.32,0.83,3.80,1.04,1.80,3.69,2.05,7.58,2.42,3.54,8.41,4.45,9.58,2.61,5.88,9.42,5.51,12.69,5.78,9.78,15.81,10.94,7.31,2.63,4.07,7.43,4.75,9.22,3.95,4.86,11.24,8.27,7.47,3.26,5.81,9.37,5.53
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.02,5.04,4.30,10.84,7.24,6.61,5.81,11.39,18.20,11.26,2.00,0.89,2.20,5.38,4.16,13.24,16.42,13.65,16.46,15.64,0.81,0.36,0.15,0.07,0.07,9.36,2.90,2.19,3.82,2.36,1.14,0.35,0.71,1.38,0.88,3.67,1.13,1.81,3.86,2.16,7.30,2.62,3.61,8.84,4.71,9.15,2.91,6.01,10.01,5.80,12.06,6.47,9.85,16.96,11.65,7.19,3.03,4.29,7.98,5.10,8.49,4.47,5.16,12.01,8.70,7.39,3.84,6.06,9.90,6.02
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.97,5.34,4.22,11.32,7.42,6.30,6.33,12.12,18.91,12.10,1.98,0.99,2.17,5.62,4.25,12.73,16.59,14.99,17.88,16.42,0.79,0.38,0.16,0.07,0.08,8.97,3.04,2.16,3.87,2.44,1.09,0.38,0.71,1.40,0.90,3.49,1.22,1.81,3.91,2.21,6.93,2.82,3.66,8.97,4.82,10.64,3.34,6.12,10.38,5.96,11.47,6.99,9.73,17.70,12.10,6.97,3.40,4.43,8.24,5.32,7.88,4.90,5.38,12.36,8.91,7.29,4.36,6.22,10.10,6.33
